time_s,disp_m,accel_rel_ms2,force_N
0.63500,0.00055541,0.00399992,2.777048
0.64000,0.00056440,0.00272902,2.822009
0.64500,0.00057346,0.00127036,2.867306
0.65000,0.00058255,-0.00025058,2.912759
0.65500,0.00059164,-0.00172781,2.958182
0.66000,0.00060068,-0.00320477,3.003389
0.66500,0.00060964,-0.00450864,3.048201
0.67000,0.00061849,-0.00535106,3.092464
0.67500,0.00062721,-0.00564893,3.136075
0.68000,0.00063580,-0.00539034,3.178997
0.68500,0.00064425,-0.00427763,3.221272
0.69000,0.00065261,-0.00216468,3.263044
0.69500,0.00066091,0.00047606,3.304561
0.70000,0.00066923,0.00285472,3.346130
0.70500,0.00067761,0.00456812,3.388035
0.71000,0.00068610,0.00584594,3.430498
0.71500,0.00069474,0.00680749,3.473681
0.72000,0.00070354,0.00725068,3.517699
0.72500,0.00071252,0.00697243,3.562601
0.73000,0.00072167,0.00611925,3.608356
0.73500,0.00073097,0.00502097,3.654869
0.74000,0.00074040,0.00414901,3.702016
0.74500,0.00074994,0.00378715,3.749698
0.75000,0.00075957,0.00370052,3.797862
0.75500,0.00076930,0.00321764,3.846476
0.76000,0.00077909,0.00187699,3.895465
0.76500,0.00078893,-0.00023050,3.944665
0.77000,0.00079877,-0.00249893,3.993831
0.77500,0.00080854,-0.00411482,4.042706
0.78000,0.00081822,-0.00466756,4.091099
0.78500,0.00082779,-0.00415786,4.138942
0.79000,0.00083726,-0.00278975,4.186292
0.79500,0.00084666,-0.00110175,4.233303
0.80000,0.00085603,0.00035651,4.280169
0.80500,0.00086541,0.00112308,4.327058
0.81000,0.00087481,0.00072161,4.374052
0.81500,0.00088422,-0.00065213,4.421105
0.82000,0.00089362,-0.00190713,4.468080
0.82500,0.00090297,-0.00206693,4.514851
0.83000,0.00091228,-0.00094637,4.561404
0.83500,0.00092157,0.00114738,4.607868
0.84000,0.00093090,0.00370423,4.654491
0.84500,0.00094032,0.00633864,4.701579
0.85000,0.00094989,0.00882992,4.749455
0.85500,0.00095968,0.01087039,4.798421
0.86000,0.00096975,0.01241088,4.848730
0.86500,0.00098012,0.01356018,4.900578
0.87000,0.00099082,0.01419202,4.954105
0.87500,0.00100187,0.01370416,5.009370
0.88000,0.00101326,0.01192640,5.066309
0.88500,0.00102494,0.00918204,5.124708
0.89000,0.00103685,0.00628581,5.184250
0.89500,0.00104892,0.00430929,5.244607
0.90000,0.00106111,0.00371581,5.305545
0.90500,0.00107340,0.00413233,5.366980
0.91000,0.00108579,0.00479794,5.428939
0.91500,0.00109830,0.00513707,5.491487
0.92000,0.00111093,0.00502560,5.554664
0.92500,0.00112369,0.00468518,5.618461
0.93000,0.00113657,0.00440650,5.682846
0.93500,0.00114956,0.00433849,5.747789
0.94000,0.00116266,0.00443947,5.813279
0.94500,0.00117587,0.00467202,5.879328
0.95000,0.00118919,0.00519355,5.945970
0.95500,0.00120265,0.00572115,6.013261
0.96000,0.00121625,0.00609689,6.081263
0.96500,0.00123000,0.00605469,6.150014
0.97000,0.00124390,0.00524674,6.219498
0.97500,0.00125792,0.00320310,6.289599
0.98000,0.00127202,0.00037647,6.360076
0.98500,0.00128612,-0.00196868,6.430615
0.99000,0.00130019,-0.00297413,6.500950
0.99500,0.00131419,-0.00255120,6.570958
1.00000,0.00132813,-0.00124552,6.640675
1.00500,0.00134205,-0.00012234,6.710230
1.01000,0.00135595,0.00049858,6.779754
1.01500,0.00136986,0.00056205,6.849323
1.02000,0.00138379,-0.00038999,6.918930
1.02500,0.00139769,-0.00270662,6.988446
1.03000,0.00141152,-0.00597304,7.057595
1.03500,0.00142520,-0.00892196,7.126006
1.04000,0.00143867,-0.01049459,7.193345
1.04500,0.00145188,-0.01058345,7.259419
1.05000,0.00146484,-0.00989591,7.324194
1.05500,0.00147755,-0.00928409,7.387729
1.06000,0.00149002,-0.00898123,7.450095
1.06500,0.00150227,-0.00852699,7.511343
1.07000,0.00151431,-0.00778682,7.571533
1.07500,0.00152615,-0.00709428,7.630749
1.08000,0.00153781,-0.00707302,7.689057
1.08500,0.00154929,-0.00817540,7.746446
1.09000,0.00156056,-0.01022338,7.802783
1.09500,0.00157156,-0.01305885,7.857818
1.10000,0.00158224,-0.01623505,7.911210
1.10500,0.00159252,-0.01877901,7.962592
1.11000,0.00160233,-0.02033427,8.011658
1.11500,0.00161164,-0.02111372,8.058206
1.12000,0.00162043,-0.02061712,8.102155
1.12500,0.00162872,-0.01831630,8.143583
1.13000,0.00163655,-0.01445505,8.182770
1.13500,0.00164403,-0.01030190,8.220160
1.14000,0.00165124,-0.00791181,8.256206
1.14500,0.00165823,-0.00839682,8.291174
1.15000,0.00166500,-0.01114648,8.325022
1.15500,0.00167149,-0.01450814,8.357457
1.16000,0.00167763,-0.01636381,8.388125
1.16500,0.00168337,-0.01566024,8.416828
1.17000,0.00168873,-0.01286408,8.443639
1.17500,0.00169378,-0.00887711,8.468880
1.18000,0.00169860,-0.00449265,8.493023
1.18500,0.00170332,-0.00022085,8.516600
1.19000,0.00170803,0.00335211,8.540129
1.19500,0.00171281,0.00549835,8.564032
1.20000,0.00171771,0.00605239,8.588572
1.20500,0.00172277,0.00569099,8.613840
1.21000,0.00172797,0.00593070,8.639839
1.21500,0.00173333,0.00814151,8.666640
1.22000,0.00173890,0.01194499,8.694509
1.22500,0.00174478,0.01592919,8.723877
1.23000,0.00175104,0.01830940,8.755185
1.23500,0.00175774,0.01811574,8.788702
1.24000,0.00176488,0.01565396,8.824413
1.24500,0.00177241,0.01236135,8.862054
1.25000,0.00178025,0.01015998,8.901275
1.25500,0.00178837,0.01045622,8.941843
1.26000,0.00179676,0.01304285,8.983790
1.26500,0.00180548,0.01658403,9.027398
1.27000,0.00181461,0.01905042,9.073045
1.27500,0.00182420,0.01918616,9.121000
1.28000,0.00183426,0.01750940,9.171297
1.28500,0.00184475,0.01482357,9.223751
1.29000,0.00185561,0.01140036,9.278035
1.29500,0.00186675,0.00803220,9.333746
1.30000,0.00187810,0.00543127,9.390484
1.30500,0.00188958,0.00268282,9.447897
1.31000,0.00190112,-0.00110286,9.505613
1.31500,0.00191263,-0.00632020,9.563147
1.32000,0.00192398,-0.01143551,9.619893
1.32500,0.00193506,-0.01314045,9.675317
1.33000,0.00194585,-0.01039000,9.729237
1.33500,0.00195639,-0.00470851,9.781950
1.34000,0.00196682,0.00155386,9.834093
1.34500,0.00197728,0.00628053,9.886382
1.35000,0.00198788,0.00880822,9.939387
1.35500,0.00199868,0.00901918,9.993421
1.36000,0.00200970,0.00711111,10.048516
1.36500,0.00202089,0.00303639,10.104433
1.37000,0.00203214,-0.00163756,10.160710
1.37500,0.00204337,-0.00362893,10.216866
1.38000,0.00205455,-0.00058530,10.272726
1.38500,0.00206573,0.00737903,10.328667
1.39000,0.00207712,0.01749073,10.385597
1.39500,0.00208893,0.02619682,10.444670
1.40000,0.00210138,0.03099617,10.506895
1.40500,0.00211457,0.03171282,10.572867
1.41000,0.00212854,0.02981317,10.642721
1.41500,0.00214326,0.02718628,10.716279
1.42000,0.00215866,0.02605646,10.793283
1.42500,0.00217472,0.02670980,10.873599
1.43000,0.00219145,0.02694676,10.957240
1.43500,0.00220884,0.02481776,11.044177
1.44000,0.00222683,0.02056939,11.134149
1.44500,0.00224533,0.01511917,11.226655
1.45000,0.00226421,0.00950541,11.321045
1.45500,0.00228333,0.00483183,11.416653
1.46000,0.00230258,0.00190287,11.512920
1.46500,0.00232190,0.00164969,11.609508
