time_s,disp_m,accel_rel_ms2,force_N
1.05000000,-0.00940026,-0.48372905,-47.00131302
1.06000000,-0.00900061,-0.79803763,-45.00305409
1.07000000,-0.00866105,-0.87533957,-43.30527373
1.08000000,-0.00840408,-0.89231802,-42.02041955
1.09000000,-0.00822683,-0.72744474,-41.13413914
1.10000000,-0.00813908,-0.81533562,-40.69538129
1.11000000,-0.00810372,-0.36444785,-40.51861023
1.12000000,-0.00812115,-0.01481498,-40.60573780
1.13000000,-0.00814871,0.33643924,-40.74357163
1.14000000,-0.00815644,0.58716766,-40.78222406
1.15000000,-0.00810950,0.88245592,-40.54749376
1.16000000,-0.00798928,1.02601606,-39.94637856
1.17000000,-0.00777870,0.99635636,-38.89350531
1.18000000,-0.00747567,0.80837076,-37.37832789
1.19000000,-0.00707745,0.81332250,-35.38723255
1.20000000,-0.00662598,0.25898880,-33.12991629
1.21000000,-0.00611851,0.02961501,-30.59257395
1.22000000,-0.00559729,-0.09855639,-27.98645177
1.23000000,-0.00509359,-0.44421808,-25.46795894
1.24000000,-0.00461707,-0.61773056,-23.08533013
1.25000000,-0.00421320,-1.09569167,-21.06598970
1.26000000,-0.00386891,-0.81275819,-19.34452633
1.27000000,-0.00363737,-1.01797882,-18.18684725
1.28000000,-0.00349104,-0.99403501,-17.45521390
1.29000000,-0.00342709,-0.61762559,-17.13547463
1.30000000,-0.00342937,-0.14225255,-17.14685842
1.31000000,-0.00346685,0.15133081,-17.33423754
1.32000000,-0.00349890,0.39748408,-17.49450670
1.33000000,-0.00348817,0.82752481,-17.44083111
1.34000000,-0.00342846,0.79687966,-17.14231968
1.35000000,-0.00327877,0.95706046,-16.39383128
1.36000000,-0.00303980,1.06856045,-15.19900546
1.37000000,-0.00270822,0.95096373,-13.54111108
1.38000000,-0.00228617,0.68201446,-11.43087339
1.39000000,-0.00178803,0.43652283,-8.94014540
1.40000000,-0.00123441,0.30479249,-6.17202922
1.41000000,-0.00065696,-0.02599703,-3.28481530
1.42000000,-0.00008506,-0.58097536,-0.42529840
1.43000000,0.00047507,-0.48701471,2.37533785
1.44000000,0.00095062,-1.06355283,4.75309697
1.45000000,0.00136831,-0.95853353,6.84153630
1.46000000,0.00168396,-0.92471456,8.41978137
1.47000000,0.00189376,-1.14147012,9.46879815
1.48000000,0.00200787,-1.09761271,10.03932756
1.49000000,0.00203354,-0.60517057,10.16771462
1.50000000,0.00195040,-0.83258769,9.75199632
1.51000000,0.00180673,-0.71913617,9.03362847
1.52000000,0.00160361,-0.29952786,8.01805029
