epoch,train_loss,val_loss,helmholtz_loss
1,0.07146148,0.04348049,0.0
2,0.05076316,0.03175477,0.0
3,0.03838526,0.02440986,0.0
4,0.03011,0.01933752,0.0
5,0.02410239,0.01558594,0.0
6,0.01950914,0.01269038,0.0
7,0.01589263,0.01039951,0.0
8,0.01299998,0.00856143,0.0
9,0.0106671,0.00707476,0.0
10,0.00877743,0.00586662,0.0
11,0.00724308,0.00488195,0.0
12,0.00599548,0.00407788,0.0
13,0.00498009,0.00342042,0.0
14,0.00415311,0.00288228,0.0
15,0.00347917,0.00244146,0.0
16,0.00292962,0.00208008,0.0
17,0.00248125,0.00178362,0.0
18,0.00211518,0.00154024,0.0
19,0.0018161,0.00134025,0.0
20,0.00157155,0.00117577,0.0
21,0.00137141,0.00104034,0.0
22,0.00120743,0.00092867,0.0
23,0.00107292,0.00083646,0.0
24,0.00096242,0.00076015,0.0
25,0.00087149,0.00069687,0.0
26,0.00079652,0.00064424,0.0
27,0.00073455,0.00060033,0.0
28,0.0006832,0.00056356,0.0
29,0.00064052,0.00053263,0.0
30,0.0006049,0.00050648,0.0
31,0.00057505,0.00048426,0.0
32,0.00054992,0.00046524,0.0
33,0.00052865,0.00044885,0.0
34,0.00051052,0.00043462,0.0
35,0.00049498,0.00042217,0.0
36,0.00048155,0.00041117,0.0
37,0.00046985,0.00040137,0.0
38,0.00045958,0.00039255,0.0
39,0.00045047,0.00038456,0.0
40,0.00044232,0.00037723,0.0
41,0.00043497,0.00037047,0.0
42,0.00042827,0.00036418,0.0
43,0.00042212,0.00035827,0.0
44,0.00041642,0.0003527,0.0
45,0.00041109,0.0003474,0.0
46,0.00040609,0.00034234,0.0
47,0.00040134,0.00033747,0.0
48,0.00039682,0.00033279,0.0
49,0.0003925,0.00032825,0.0
50,0.00038833,0.00032385,0.0
51,0.00038431,0.00031956,0.0
52,0.00038041,0.00031538,0.0
53,0.00037662,0.00031129,0.0
54,0.00037293,0.00030729,0.0
55,0.00036931,0.00030336,0.0
56,0.00036578,0.00029951,0.0
57,0.00036232,0.00029573,0.0
58,0.00035891,0.00029202,0.0
59,0.00035557,0.00028836,0.0
60,0.00035229,0.00028477,0.0
61,0.00034905,0.00028123,0.0
62,0.00034586,0.00027774,0.0
63,0.00034272,0.00027431,0.0
64,0.00033963,0.00027093,0.0
65,0.00033657,0.0002676,0.0
66,0.00033356,0.00026432,0.0
67,0.00033059,0.00026108,0.0
68,0.00032766,0.00025789,0.0
